Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DepartmentTurnoverBenchmark,JobRoleTurnoverBenchmark,OvertimeImpact,TravelImpact,MaritalImpact,ExternalRiskScore,AgeGroup,IncomePerYear,IncomeToAgeRatio,YearsAtCompanyRatio,YearsInRoleRatio,YearsWithManagerRatio,YearsSincePromotionRatio,TotalSatisfaction,SatisfactionScore,PerformanceScore,CareerProgressionRate,PromotionFrequency,JobStability,IsNewEmployee,IsSeniorEmployee,LongTimeNoPromotion,IncomeLevelMatch,DistanceOvertimeInteraction
36,2,1,6,4,1,3,1,1,1,2,3,0,2741,1,0,14,3,3,1,7,4,3,7,7,1,7,0.12,0.12,0.7,1.0,1.0,0.0839999999999999,1,32892,74.08108108108108,0.875,0.875,0.875,0.125,3.0,12,3,0.125,3.5,3.5,0,0,0,2.7382617382617385,0
39,2,1,24,1,1,1,1,3,2,6,4,2,4108,7,0,13,3,1,0,18,2,3,7,7,1,7,0.12,0.12,0.7,1.0,1.2,0.1007999999999999,1,49296,102.7,0.3684210526315789,0.875,0.875,0.125,2.0,9,9,0.10526315789473684,3.5,0.875,0,0,0,2.052973513243378,0
42,0,1,23,2,1,4,1,2,2,6,3,2,4332,1,0,12,3,4,0,20,2,3,20,9,3,7,0.12,0.12,0.7,0.9,1.2,0.09072,2,51984,100.74418604651163,0.9523809523809523,0.42857142857142855,0.3333333333333333,0.14285714285714285,3.6666666666666665,14,6,0.09523809523809523,5.0,10.0,0,1,0,2.1649175412293853,0
52,2,1,1,2,1,4,1,3,4,3,4,1,17099,2,0,15,3,2,1,26,2,2,9,8,7,8,0.12,0.09,0.7,1.0,0.9,0.0756,3,205188,322.62264150943395,0.3333333333333333,0.8,0.8,0.7,3.3333333333333335,12,9,0.14814814814814814,1.125,3.0,0,0,1,4.273681579605099,0
25,2,1,2,1,4,4,1,3,1,2,3,0,3977,6,1,19,3,3,1,7,2,2,2,2,0,2,0.12,0.12,1.3,1.0,1.0,0.156,0,47724,152.96153846153845,0.25,0.6666666666666666,0.6666666666666666,0.0,3.3333333333333335,12,9,0.125,2.0,0.2857142857142857,1,0,0,3.973026973026973,2
43,1,2,15,3,1,4,1,2,2,7,4,1,6804,3,0,18,3,3,1,7,5,3,2,2,2,2,0.125,0.125,0.7,1.2,0.9,0.0945,2,81648,154.63636363636363,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.6666666666666665,14,6,0.25,0.6666666666666666,0.5,1,0,0,3.4002998500749624,0
58,2,1,2,4,1,4,1,3,5,5,2,2,19246,7,1,12,3,4,0,40,2,3,31,15,13,8,0.12,0.1,1.3,1.0,1.2,0.1872,3,230952,326.20338983050846,0.7560975609756098,0.46875,0.25,0.40625,3.3333333333333335,13,9,0.12195121951219512,2.2142857142857144,3.875,0,1,1,3.8484303139372127,2
26,2,1,23,3,1,1,0,3,1,6,4,0,2886,1,0,22,4,2,2,3,3,1,3,2,0,2,0.12,0.12,0.7,1.0,1.0,0.0839999999999999,0,34632,106.88888888888889,0.75,0.5,0.5,0.0,2.3333333333333335,8,12,0.25,3.0,1.5,0,0,0,2.883116883116883,0
27,2,2,2,1,2,3,1,3,1,8,1,0,3041,0,0,11,3,2,1,5,3,3,4,3,0,2,0.125,0.125,0.7,1.0,1.0,0.0875,0,36492,108.60714285714286,0.6666666666666666,0.6,0.4,0.0,2.0,9,9,0.16666666666666666,4.0,4.0,0,0,0,3.037962037962038,0
33,2,1,25,3,3,1,1,2,1,6,2,2,2313,4,1,20,4,2,0,5,0,3,2,2,2,2,0.12,0.12,1.3,1.0,1.2,0.1872,1,27756,68.02941176470588,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,8,8,0.16666666666666666,0.6666666666666666,0.4,1,0,0,2.3106893106893107,25
